,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ERBE,7.5,4.5,12.9,LOW_SHRUB,71.805,71.821,41.751,41.768,92.486,92.059,30.054,30.053,164.291,163.879,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
1,ERBE,7.5,4.5,12.9,LOW_SHRUB,71.805,71.821,41.751,41.768,92.486,92.059,30.054,30.053,164.291,163.879,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
2,ERBE,7.5,19.5,12.9,LOW_SHRUB,71.898,71.914,41.799,41.816,92.486,92.059,30.099,30.097,164.384,163.972,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
3,ERBE,7.5,19.5,12.9,LOW_SHRUB,71.898,71.914,41.799,41.816,92.486,92.059,30.099,30.097,164.384,163.972,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
4,ERBE,7.5,45.0,12.9,LOW_SHRUB,72.325,72.341,42.021,42.038,92.487,92.060,30.305,30.303,164.812,164.399,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
5,ERBE,7.5,45.0,12.9,LOW_SHRUB,72.325,72.341,42.021,42.038,92.487,92.060,30.305,30.303,164.812,164.399,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
6,ERBE,7.5,75.0,12.9,LOW_SHRUB,73.099,73.114,42.445,42.462,92.487,92.060,30.653,30.652,165.586,165.173,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
7,ERBE,7.5,75.0,12.9,LOW_SHRUB,73.099,73.114,42.445,42.462,92.487,92.060,30.653,30.652,165.586,165.173,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
8,ERBE,7.5,105.0,12.9,LOW_SHRUB,74.127,74.143,43.017,43.034,92.488,92.061,31.110,31.109,166.615,166.202,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
9,ERBE,7.5,105.0,12.9,LOW_SHRUB,74.127,74.143,43.017,43.034,92.488,92.061,31.110,31.109,166.615,166.202,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
10,ERBE,7.5,135.0,12.9,LOW_SHRUB,75.293,75.309,43.676,43.694,92.489,92.062,31.617,31.615,167.782,167.370,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
11,ERBE,7.5,135.0,12.9,LOW_SHRUB,75.293,75.309,43.676,43.694,92.489,92.062,31.617,31.615,167.782,167.370,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
12,ERBE,7.5,160.5,12.9,LOW_SHRUB,76.208,76.224,44.162,44.180,92.490,92.063,32.046,32.044,168.698,168.285,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
13,ERBE,7.5,160.5,12.9,LOW_SHRUB,76.208,76.224,44.162,44.180,92.490,92.063,32.046,32.044,168.698,168.285,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
14,ERBE,7.5,175.5,12.9,LOW_SHRUB,76.517,76.533,44.319,44.338,92.490,92.063,32.198,32.195,169.007,168.595,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
15,ERBE,7.5,175.5,12.9,LOW_SHRUB,76.517,76.533,44.319,44.338,92.490,92.063,32.198,32.195,169.007,168.595,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
16,ERBE,21.0,4.5,12.9,LOW_SHRUB,67.924,67.939,39.454,39.470,91.883,91.449,28.470,28.468,159.807,159.387,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
17,ERBE,21.0,4.5,12.9,LOW_SHRUB,67.924,67.939,39.454,39.470,91.883,91.449,28.470,28.468,159.807,159.387,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
18,ERBE,21.0,19.5,12.9,LOW_SHRUB,68.065,68.080,39.531,39.547,91.883,91.449,28.534,28.533,159.948,159.528,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
19,ERBE,21.0,19.5,12.9,LOW_SHRUB,68.065,68.080,39.531,39.547,91.883,91.449,28.534,28.533,159.948,159.528,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
20,ERBE,21.0,45.0,12.9,LOW_SHRUB,68.713,68.729,39.886,39.902,91.884,91.450,28.828,28.827,160.598,160.177,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
21,ERBE,21.0,45.0,12.9,LOW_SHRUB,68.713,68.729,39.886,39.902,91.884,91.450,28.828,28.827,160.598,160.177,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
22,ERBE,21.0,75.0,12.9,LOW_SHRUB,70.191,70.207,40.653,40.670,91.885,91.451,29.537,29.537,162.076,161.656,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
23,ERBE,21.0,75.0,12.9,LOW_SHRUB,70.191,70.207,40.653,40.670,91.885,91.451,29.537,29.537,162.076,161.656,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
24,ERBE,21.0,105.0,12.9,LOW_SHRUB,72.338,72.355,41.768,41.785,91.887,91.453,30.570,30.569,164.225,163.806,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
25,ERBE,21.0,105.0,12.9,LOW_SHRUB,72.338,72.355,41.768,41.785,91.887,91.453,30.570,30.569,164.225,163.806,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
26,ERBE,21.0,135.0,12.9,LOW_SHRUB,74.595,74.612,42.977,42.995,91.889,91.455,31.618,31.617,166.484,166.066,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
27,ERBE,21.0,135.0,12.9,LOW_SHRUB,74.595,74.612,42.977,42.995,91.889,91.455,31.618,31.617,166.484,166.066,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
28,ERBE,21.0,160.5,12.9,LOW_SHRUB,76.195,76.212,43.882,43.900,91.890,91.456,32.313,32.312,168.085,167.667,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
29,ERBE,21.0,160.5,12.9,LOW_SHRUB,76.195,76.212,43.882,43.900,91.890,91.456,32.313,32.312,168.085,167.667,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
30,ERBE,21.0,175.5,12.9,LOW_SHRUB,76.705,76.722,44.163,44.181,91.890,91.456,32.542,32.541,168.596,168.177,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
31,ERBE,21.0,175.5,12.9,LOW_SHRUB,76.705,76.722,44.163,44.181,91.890,91.456,32.542,32.541,168.596,168.177,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
32,ERBE,33.0,4.5,12.9,LOW_SHRUB,64.602,64.616,37.346,37.361,90.799,90.352,27.256,27.255,155.401,154.967,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
33,ERBE,33.0,4.5,12.9,LOW_SHRUB,64.602,64.616,37.346,37.361,90.799,90.352,27.256,27.255,155.401,154.967,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
34,ERBE,33.0,19.5,12.9,LOW_SHRUB,64.794,64.808,37.443,37.458,90.799,90.352,27.351,27.350,155.592,155.159,191.903,191.864,138.161,138.201,477.291,19390113388512460295984285491839526502400000000.000,53.742,53.663,669.195,19440042515104131198460234744541306945536000000.000
