,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ERBE,7.5,4.5,12.9,OCEAN,84.241,84.294,35.541,35.562,78.871,78.748,48.700,48.732,163.112,163.041,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
1,ERBE,7.5,4.5,12.9,OCEAN,84.241,84.294,35.541,35.562,78.871,78.748,48.700,48.732,163.112,163.041,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
2,ERBE,7.5,19.5,12.9,OCEAN,84.294,84.347,35.560,35.581,78.871,78.748,48.734,48.766,163.165,163.095,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
3,ERBE,7.5,19.5,12.9,OCEAN,84.294,84.347,35.560,35.581,78.871,78.748,48.734,48.766,163.165,163.095,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
4,ERBE,7.5,45.0,12.9,OCEAN,84.427,84.481,35.602,35.623,78.871,78.748,48.825,48.858,163.298,163.229,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
5,ERBE,7.5,45.0,12.9,OCEAN,84.427,84.481,35.602,35.623,78.871,78.748,48.825,48.858,163.298,163.229,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
6,ERBE,7.5,75.0,12.9,OCEAN,84.737,84.791,35.721,35.742,78.872,78.749,49.016,49.049,163.608,163.539,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
7,ERBE,7.5,75.0,12.9,OCEAN,84.737,84.791,35.721,35.742,78.872,78.749,49.016,49.049,163.608,163.539,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
8,ERBE,7.5,105.0,12.9,OCEAN,84.906,84.961,35.787,35.808,78.873,78.750,49.120,49.153,163.779,163.710,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
9,ERBE,7.5,105.0,12.9,OCEAN,84.906,84.961,35.787,35.808,78.873,78.750,49.120,49.153,163.779,163.710,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
10,ERBE,7.5,135.0,12.9,OCEAN,85.450,85.505,36.088,36.110,78.875,78.752,49.362,49.395,164.325,164.256,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
11,ERBE,7.5,135.0,12.9,OCEAN,85.450,85.505,36.088,36.110,78.875,78.752,49.362,49.395,164.325,164.256,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
12,ERBE,7.5,160.5,12.9,OCEAN,86.323,86.378,36.595,36.617,78.876,78.753,49.728,49.762,165.200,165.131,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
13,ERBE,7.5,160.5,12.9,OCEAN,86.323,86.378,36.595,36.617,78.876,78.753,49.728,49.762,165.200,165.131,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
14,ERBE,7.5,175.5,12.9,OCEAN,86.781,86.836,36.883,36.905,78.876,78.753,49.898,49.931,165.657,165.588,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
15,ERBE,7.5,175.5,12.9,OCEAN,86.781,86.836,36.883,36.905,78.876,78.753,49.898,49.931,165.657,165.588,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
16,ERBE,21.0,4.5,12.9,OCEAN,84.881,84.931,36.060,36.081,78.273,78.155,48.821,48.851,163.154,163.086,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
17,ERBE,21.0,4.5,12.9,OCEAN,84.881,84.931,36.060,36.081,78.273,78.155,48.821,48.851,163.154,163.086,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
18,ERBE,21.0,19.5,12.9,OCEAN,84.887,84.938,36.028,36.049,78.273,78.155,48.859,48.889,163.160,163.092,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
19,ERBE,21.0,19.5,12.9,OCEAN,84.887,84.938,36.028,36.049,78.273,78.155,48.859,48.889,163.160,163.092,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
20,ERBE,21.0,45.0,12.9,OCEAN,85.098,85.149,36.072,36.093,78.274,78.156,49.026,49.056,163.372,163.304,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
21,ERBE,21.0,45.0,12.9,OCEAN,85.098,85.149,36.072,36.093,78.274,78.156,49.026,49.056,163.372,163.304,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
22,ERBE,21.0,75.0,12.9,OCEAN,85.782,85.834,36.300,36.321,78.274,78.157,49.482,49.513,164.056,163.990,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
23,ERBE,21.0,75.0,12.9,OCEAN,85.782,85.834,36.300,36.321,78.274,78.157,49.482,49.513,164.056,163.990,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
24,ERBE,21.0,105.0,12.9,OCEAN,86.908,86.961,36.686,36.708,78.274,78.157,50.221,50.254,165.182,165.117,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
25,ERBE,21.0,105.0,12.9,OCEAN,86.908,86.961,36.686,36.708,78.274,78.157,50.221,50.254,165.182,165.117,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
26,ERBE,21.0,135.0,12.9,OCEAN,87.875,87.930,37.016,37.037,78.276,78.158,50.859,50.892,166.150,166.087,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
27,ERBE,21.0,135.0,12.9,OCEAN,87.875,87.930,37.016,37.037,78.276,78.158,50.859,50.892,166.150,166.087,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
28,ERBE,21.0,160.5,12.9,OCEAN,88.510,88.566,37.349,37.371,78.278,78.160,51.161,51.195,166.788,166.725,27.432,27.444,13.898,13.903,390.482,19390113388512460295984285491839526502400000000.000,13.535,13.541,417.914,19440042515104131198460234744541306945536000000.000
