,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ERBE,7.5,4.5,12.9,OCEAN,58.901,58.952,24.699,24.714,88.676,88.419,34.201,34.238,147.577,147.370,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
1,ERBE,7.5,4.5,12.9,OCEAN,58.901,58.952,24.699,24.714,88.676,88.419,34.201,34.238,147.577,147.370,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
2,ERBE,7.5,19.5,12.9,OCEAN,58.951,59.003,24.717,24.732,88.676,88.419,34.234,34.271,147.628,147.421,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
3,ERBE,7.5,19.5,12.9,OCEAN,58.951,59.003,24.717,24.732,88.676,88.419,34.234,34.271,147.628,147.421,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
4,ERBE,7.5,45.0,12.9,OCEAN,59.021,59.072,24.728,24.742,88.677,88.419,34.293,34.330,147.697,147.491,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
5,ERBE,7.5,45.0,12.9,OCEAN,59.021,59.072,24.728,24.742,88.677,88.419,34.293,34.330,147.697,147.491,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
6,ERBE,7.5,75.0,12.9,OCEAN,59.324,59.376,24.851,24.865,88.678,88.421,34.473,34.511,148.002,147.796,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
7,ERBE,7.5,75.0,12.9,OCEAN,59.324,59.376,24.851,24.865,88.678,88.421,34.473,34.511,148.002,147.796,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
8,ERBE,7.5,105.0,12.9,OCEAN,59.488,59.541,24.926,24.940,88.681,88.424,34.562,34.601,148.169,147.964,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
9,ERBE,7.5,105.0,12.9,OCEAN,59.488,59.541,24.926,24.940,88.681,88.424,34.562,34.601,148.169,147.964,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
10,ERBE,7.5,135.0,12.9,OCEAN,60.084,60.137,25.287,25.302,88.686,88.428,34.796,34.835,148.769,148.564,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
11,ERBE,7.5,135.0,12.9,OCEAN,60.084,60.137,25.287,25.302,88.686,88.428,34.796,34.835,148.769,148.564,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
12,ERBE,7.5,160.5,12.9,OCEAN,61.027,61.080,25.877,25.892,88.690,88.432,35.150,35.189,149.717,149.511,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
13,ERBE,7.5,160.5,12.9,OCEAN,61.027,61.080,25.877,25.892,88.690,88.432,35.150,35.189,149.717,149.511,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
14,ERBE,7.5,175.5,12.9,OCEAN,61.601,61.655,26.268,26.283,88.690,88.432,35.333,35.371,150.291,150.086,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
15,ERBE,7.5,175.5,12.9,OCEAN,61.601,61.655,26.268,26.283,88.690,88.432,35.333,35.371,150.291,150.086,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
16,ERBE,21.0,4.5,12.9,OCEAN,60.378,60.427,25.737,25.752,88.035,87.788,34.641,34.675,148.413,148.213,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
17,ERBE,21.0,4.5,12.9,OCEAN,60.378,60.427,25.737,25.752,88.035,87.788,34.641,34.675,148.413,148.213,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
18,ERBE,21.0,19.5,12.9,OCEAN,60.326,60.375,25.658,25.673,88.035,87.788,34.668,34.702,148.361,148.161,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
19,ERBE,21.0,19.5,12.9,OCEAN,60.326,60.375,25.658,25.673,88.035,87.788,34.668,34.702,148.361,148.161,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
20,ERBE,21.0,45.0,12.9,OCEAN,60.359,60.408,25.603,25.618,88.036,87.789,34.757,34.791,148.395,148.196,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
21,ERBE,21.0,45.0,12.9,OCEAN,60.359,60.408,25.603,25.618,88.036,87.789,34.757,34.791,148.395,148.196,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
22,ERBE,21.0,75.0,12.9,OCEAN,60.634,60.685,25.617,25.632,88.038,87.791,35.018,35.053,148.673,148.475,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
23,ERBE,21.0,75.0,12.9,OCEAN,60.634,60.685,25.617,25.632,88.038,87.791,35.018,35.053,148.673,148.475,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
24,ERBE,21.0,105.0,12.9,OCEAN,61.092,61.145,25.650,25.665,88.038,87.791,35.442,35.479,149.131,148.935,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
25,ERBE,21.0,105.0,12.9,OCEAN,61.092,61.145,25.650,25.665,88.038,87.791,35.442,35.479,149.131,148.935,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
26,ERBE,21.0,135.0,12.9,OCEAN,61.744,61.798,25.827,25.842,88.041,87.794,35.917,35.956,149.785,149.590,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
27,ERBE,21.0,135.0,12.9,OCEAN,61.744,61.798,25.827,25.842,88.041,87.794,35.917,35.956,149.785,149.590,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
28,ERBE,21.0,160.5,12.9,OCEAN,62.438,62.493,26.245,26.261,88.047,87.800,36.193,36.232,150.485,150.291,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
29,ERBE,21.0,160.5,12.9,OCEAN,62.438,62.493,26.245,26.261,88.047,87.800,36.193,36.232,150.485,150.291,29.889,29.902,15.870,15.876,406.073,19390113388512460295984285491839526502400000000.000,14.019,14.026,435.962,19440042515104131198460234744541306945536000000.000
