,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ERBE,7.5,4.5,12.9,DARK_DESERT,65.574,65.603,40.894,40.910,92.449,92.216,24.681,24.693,158.023,157.818,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
1,ERBE,7.5,4.5,12.9,DARK_DESERT,65.574,65.603,40.894,40.910,92.449,92.216,24.681,24.693,158.023,157.818,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
2,ERBE,7.5,19.5,12.9,DARK_DESERT,65.677,65.706,40.956,40.972,92.449,92.216,24.721,24.734,158.126,157.921,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
3,ERBE,7.5,19.5,12.9,DARK_DESERT,65.677,65.706,40.956,40.972,92.449,92.216,24.721,24.734,158.126,157.921,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
4,ERBE,7.5,45.0,12.9,DARK_DESERT,66.144,66.173,41.239,41.255,92.449,92.217,24.905,24.918,158.593,158.389,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
5,ERBE,7.5,45.0,12.9,DARK_DESERT,66.144,66.173,41.239,41.255,92.449,92.217,24.905,24.918,158.593,158.389,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
6,ERBE,7.5,75.0,12.9,DARK_DESERT,67.026,67.055,41.801,41.818,92.451,92.219,25.225,25.237,159.477,159.272,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
7,ERBE,7.5,75.0,12.9,DARK_DESERT,67.026,67.055,41.801,41.818,92.451,92.219,25.225,25.237,159.477,159.272,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
8,ERBE,7.5,105.0,12.9,DARK_DESERT,68.192,68.221,42.566,42.583,92.453,92.221,25.626,25.638,160.645,160.441,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
9,ERBE,7.5,105.0,12.9,DARK_DESERT,68.192,68.221,42.566,42.583,92.453,92.221,25.626,25.638,160.645,160.441,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
10,ERBE,7.5,135.0,12.9,DARK_DESERT,69.526,69.556,43.456,43.473,92.455,92.223,26.070,26.082,161.981,161.777,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
11,ERBE,7.5,135.0,12.9,DARK_DESERT,69.526,69.556,43.456,43.473,92.455,92.223,26.070,26.082,161.981,161.777,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
12,ERBE,7.5,160.5,12.9,DARK_DESERT,70.577,70.606,44.133,44.151,92.457,92.224,26.444,26.455,163.034,162.829,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
13,ERBE,7.5,160.5,12.9,DARK_DESERT,70.577,70.606,44.133,44.151,92.457,92.224,26.444,26.455,163.034,162.829,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
14,ERBE,7.5,175.5,12.9,DARK_DESERT,70.926,70.955,44.351,44.369,92.457,92.225,26.575,26.586,163.383,163.178,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
15,ERBE,7.5,175.5,12.9,DARK_DESERT,70.926,70.955,44.351,44.369,92.457,92.225,26.575,26.586,163.383,163.178,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
16,ERBE,21.0,4.5,12.9,DARK_DESERT,61.060,61.089,37.817,37.832,92.034,91.793,23.243,23.257,153.093,152.880,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
17,ERBE,21.0,4.5,12.9,DARK_DESERT,61.060,61.089,37.817,37.832,92.034,91.793,23.243,23.257,153.093,152.880,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
18,ERBE,21.0,19.5,12.9,DARK_DESERT,61.222,61.251,37.917,37.932,92.034,91.793,23.305,23.319,153.256,153.042,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
19,ERBE,21.0,19.5,12.9,DARK_DESERT,61.222,61.251,37.917,37.932,92.034,91.793,23.305,23.319,153.256,153.042,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
20,ERBE,21.0,45.0,12.9,DARK_DESERT,61.967,61.996,38.376,38.391,92.035,91.794,23.591,23.605,154.002,153.789,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
21,ERBE,21.0,45.0,12.9,DARK_DESERT,61.967,61.996,38.376,38.391,92.035,91.794,23.591,23.605,154.002,153.789,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
22,ERBE,21.0,75.0,12.9,DARK_DESERT,63.623,63.653,39.369,39.384,92.037,91.796,24.254,24.269,155.661,155.448,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
23,ERBE,21.0,75.0,12.9,DARK_DESERT,63.623,63.653,39.369,39.384,92.037,91.796,24.254,24.269,155.661,155.448,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
24,ERBE,21.0,105.0,12.9,DARK_DESERT,66.012,66.043,40.803,40.819,92.041,91.800,25.209,25.223,158.053,157.841,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
25,ERBE,21.0,105.0,12.9,DARK_DESERT,66.012,66.043,40.803,40.819,92.041,91.800,25.209,25.223,158.053,157.841,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
26,ERBE,21.0,135.0,12.9,DARK_DESERT,68.561,68.591,42.401,42.418,92.045,91.804,26.159,26.173,160.606,160.394,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
27,ERBE,21.0,135.0,12.9,DARK_DESERT,68.561,68.591,42.401,42.418,92.045,91.804,26.159,26.173,160.606,160.394,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
28,ERBE,21.0,160.5,12.9,DARK_DESERT,70.390,70.421,43.621,43.638,92.048,91.807,26.769,26.782,162.438,162.226,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
29,ERBE,21.0,160.5,12.9,DARK_DESERT,70.390,70.421,43.621,43.638,92.048,91.807,26.769,26.782,162.438,162.226,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
30,ERBE,21.0,175.5,12.9,DARK_DESERT,70.980,71.011,44.009,44.027,92.049,91.808,26.971,26.984,163.029,162.817,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
31,ERBE,21.0,175.5,12.9,DARK_DESERT,70.980,71.011,44.009,44.027,92.049,91.808,26.971,26.984,163.029,162.817,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
32,ERBE,33.0,4.5,12.9,DARK_DESERT,57.290,57.319,35.022,35.036,91.284,91.027,22.268,22.283,148.573,148.345,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
33,ERBE,33.0,4.5,12.9,DARK_DESERT,57.290,57.319,35.022,35.036,91.284,91.027,22.268,22.283,148.573,148.345,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
34,ERBE,33.0,19.5,12.9,DARK_DESERT,57.492,57.521,35.139,35.152,91.284,91.028,22.353,22.369,148.776,148.547,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
35,ERBE,33.0,19.5,12.9,DARK_DESERT,57.492,57.521,35.139,35.152,91.284,91.028,22.353,22.369,148.776,148.547,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
36,ERBE,33.0,45.0,12.9,DARK_DESERT,58.445,58.474,35.679,35.692,91.285,91.029,22.766,22.782,149.730,149.501,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
37,ERBE,33.0,45.0,12.9,DARK_DESERT,58.445,58.474,35.679,35.692,91.285,91.029,22.766,22.782,149.730,149.501,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
38,ERBE,33.0,75.0,12.9,DARK_DESERT,60.487,60.518,36.819,36.833,91.288,91.031,23.669,23.685,151.775,151.547,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
39,ERBE,33.0,75.0,12.9,DARK_DESERT,60.487,60.518,36.819,36.833,91.288,91.031,23.669,23.685,151.775,151.547,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
40,ERBE,33.0,105.0,12.9,DARK_DESERT,63.031,63.063,38.352,38.367,91.291,91.035,24.680,24.696,154.323,154.096,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
41,ERBE,33.0,105.0,12.9,DARK_DESERT,63.031,63.063,38.352,38.367,91.291,91.035,24.680,24.696,154.323,154.096,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
42,ERBE,33.0,135.0,12.9,DARK_DESERT,65.842,65.874,40.033,40.049,91.295,91.039,25.809,25.825,157.137,156.911,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
43,ERBE,33.0,135.0,12.9,DARK_DESERT,65.842,65.874,40.033,40.049,91.295,91.039,25.809,25.825,157.137,156.911,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
44,ERBE,33.0,160.5,12.9,DARK_DESERT,67.689,67.722,41.147,41.163,91.298,91.042,26.543,26.559,158.987,158.762,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
45,ERBE,33.0,160.5,12.9,DARK_DESERT,67.689,67.722,41.147,41.163,91.298,91.042,26.543,26.559,158.987,158.762,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
46,ERBE,33.0,175.5,12.9,DARK_DESERT,68.164,68.196,41.434,41.451,91.299,91.042,26.729,26.745,159.462,159.237,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
47,ERBE,33.0,175.5,12.9,DARK_DESERT,68.164,68.196,41.434,41.451,91.299,91.042,26.729,26.745,159.462,159.237,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
48,ERBE,45.0,4.5,12.9,DARK_DESERT,54.625,54.654,32.537,32.550,90.033,89.755,22.088,22.105,144.658,144.408,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
49,ERBE,45.0,4.5,12.9,DARK_DESERT,54.625,54.654,32.537,32.550,90.033,89.755,22.088,22.105,144.658,144.408,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
50,ERBE,45.0,19.5,12.9,DARK_DESERT,54.778,54.807,32.616,32.629,90.034,89.755,22.162,22.179,144.812,144.561,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
51,ERBE,45.0,19.5,12.9,DARK_DESERT,54.778,54.807,32.616,32.629,90.034,89.755,22.162,22.179,144.812,144.561,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
52,ERBE,45.0,45.0,12.9,DARK_DESERT,55.521,55.551,33.014,33.026,90.034,89.756,22.508,22.525,145.556,145.306,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
53,ERBE,45.0,45.0,12.9,DARK_DESERT,55.521,55.551,33.014,33.026,90.034,89.756,22.508,22.525,145.556,145.306,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
54,ERBE,45.0,75.0,12.9,DARK_DESERT,57.289,57.320,33.981,33.994,90.036,89.758,23.308,23.327,147.325,147.077,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
55,ERBE,45.0,75.0,12.9,DARK_DESERT,57.289,57.320,33.981,33.994,90.036,89.758,23.308,23.327,147.325,147.077,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
56,ERBE,45.0,105.0,12.9,DARK_DESERT,59.963,59.996,35.471,35.485,90.040,89.761,24.492,24.511,150.003,149.755,152.140,152.115,117.641,117.676,390.202,19390113388512460295984285491839526502400000000.000,34.499,34.439,542.342,19440042515104131198460234744541306945536000000.000
